Country,Year,Area,Population,GDP per capita,Population density,Vehicle ownership,Total road deaths,Road deaths per Million Inhabitants
United Kingdom,2018,2485,66273576,32400,273,544,1825,28
Denmark,2018,429,5781190,47600,137,508,175,30
Ireland,2018,698,4830392,59400,70,525,146,31
Netherlands,2018,415,17181084,41500,508,543,678,31
Sweden,2018,4386,10120242,43300,25,542,324,32
Malta,2018,03,475701,21600,1462,726,18,38
Germany,2018,3573,82792351,35900,237,610,3177,39
Spain,2018,5060,46658447,25000,93,611,1806,39
Finland,2018,3384,5513130,36600,18,732,225,43
Slovenia,2018,203,2066880,20200,103,587,91,44
Austria,2018,839,8822267,38000,107,665,409,45
Slovakia,2018,490,5443120,15600,113,455,229,46
France,2018,6328,66926166,32800,123,590,3265,48
EU 28 Total,2018,44634,512379225,28200,121,587,25249,49
Estonia,2018,452,1319133,15100,30,620,67,51
Belgium,2018,305,11398589,35300,376,585,590,52
Italy,2018,3021,60483973,26700,206,707,3310,55
Cyprus,2018,93,864236,23300,128,726,49,57
Portugal,2018,922,10291027,17900,112,479,606,59
Luxembourg,2018,26,602005,80800,245,740,36,60
Lithuania,2018,653,2808901,13300,45,501,170,61
Czech Republic,2018,789,10610055,17600,137,570,656,62
Greece,2018,1320,10741165,17800,83,605,690,64
Hungary,2018,930,9778371,12500,108,394,629,64
Poland,2018,3127,37976687,12400,124,672,2862,76
Croatia,2018,565,4105493,11500,74,416,317,77
Latvia,2018,646,1934379,12300,31,387,143,78
Bulgaria,2018,1110,7050034,6500,65,516,611,88
Romania,2018,2384,19530631,8700,85,329,1867,96
